# Gene Family	A_Abundance-RPKs
UNMAPPED	199596.0000000000
UniRef90_D4V993	2000.0000000000
UniRef90_D4V993|g__Bacteroides.s__Bacteroides_vulgatus	2000.0000000000
UniRef90_A0A078RAU1	250.0000000000
UniRef90_A0A078RAU1|g__Bacteroides.s__Bacteroides_vulgatus	250.0000000000
UniRef90_A0A078RCR8	142.8571428571
UniRef90_A0A078RCR8|g__Bacteroides.s__Bacteroides_vulgatus	142.8571428571
UniRef90_D4V9U9	100.0000000000
UniRef90_D4V9U9|g__Bacteroides.s__Bacteroides_vulgatus	100.0000000000
UniRef90_K9DT46	100.0000000000
UniRef90_K9DT46|g__Bacteroides.s__Bacteroides_dorei	100.0000000000
UniRef90_A0A078QKN0	90.9090909091
UniRef90_A0A078QKN0|g__Bacteroides.s__Bacteroides_vulgatus	90.9090909091
UniRef90_A0A078R0X6	76.9230769231
UniRef90_A0A078R0X6|g__Bacteroides.s__Bacteroides_vulgatus	76.9230769231
UniRef90_E4W393	64.3902439024
UniRef90_E4W393|g__Bacteroides.s__Bacteroides_vulgatus	40.0000000000
UniRef90_E4W393|g__Bacteroides.s__Bacteroides_dorei	24.3902439024
UniRef90_A0A015SML5	62.5000000000
UniRef90_A0A015SML5|g__Bacteroides.s__Bacteroides_vulgatus	62.5000000000
UniRef90_A0A078QMD7	62.5000000000
UniRef90_A0A078QMD7|g__Bacteroides.s__Bacteroides_vulgatus	62.5000000000
UniRef90_B6VSL9	58.8235294118
UniRef90_B6VSL9|g__Bacteroides.s__Bacteroides_vulgatus	58.8235294118
UniRef90_D4LUC8	55.0458715596
UniRef90_D4LUC8|g__Bacteroides.s__Bacteroides_vulgatus	55.0458715596
UniRef90_A0A395YXK2	52.6315789474
UniRef90_A0A395YXK2|g__Bacteroides.s__Bacteroides_dorei	52.6315789474
UniRef90_C3R6N1	52.6315789474
UniRef90_C3R6N1|g__Bacteroides.s__Bacteroides_vulgatus	52.6315789474
UniRef90_A0A3E4WAR4	46.5838509317
UniRef90_A0A3E4WAR4|g__Bacteroides.s__Bacteroides_dorei	35.7142857143
UniRef90_A0A3E4WAR4|g__Bacteroides.s__Bacteroides_vulgatus	10.8695652174
UniRef90_D4VE06	46.5116279070
UniRef90_D4VE06|g__Bacteroides.s__Bacteroides_vulgatus	46.5116279070
UniRef90_I9HYL3	34.4827586207
UniRef90_I9HYL3|g__Bacteroides.s__Bacteroides_dorei	34.4827586207
